function_name,module,implemented,impl_file,tested,test_file
nppiAddC_16s_C4RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_AC4IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_AC4IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_AC4RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_AC4RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C1IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C1IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C1RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C1RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C3IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C3IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C3RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16sc_C3RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_AC4IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_AC4IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_AC4RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_extended.cpp
nppiAddC_16u_AC4RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_C1IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16u_C1IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16u_C1RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16u_C1RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc.cpp
nppiAddC_16u_C3IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_C3IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_C3RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_extended.cpp
nppiAddC_16u_C3RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_C4IRSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_C4IRSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_16u_C4RSfs,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_extended.cpp
nppiAddC_16u_C4RSfs_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_32f_AC4IR,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_extended.cpp
nppiAddC_32f_AC4IR_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
nppiAddC_32f_AC4R,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_extended.cpp
nppiAddC_32f_AC4R_Ctx,nppi_arithmetic_and_logical_operations.h,yes,src/nppi/nppi_arithmetic_operations/nppi_addc.cu,yes,test/unit/nppi/nppi_arithmetic_operations/test_nppi_addc_complete.cpp
