function_name,usage_count,implemented,impl_file,tested,test_file
nppiColorToGray_16s_C4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_16u_AC4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_16u_AC4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_16u_C3C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_16u_C3C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_16u_C4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_16u_C4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_32f_AC4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_32f_AC4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_32f_C3C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_32f_C3C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_32f_C4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_32f_C4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_8u_AC4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_8u_AC4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_8u_C3C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_8u_C3C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorToGray_8u_C4C1R,1,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,yes,test/unit/nppi/nppi_color_conversion_operations/test_nppi_color_to_gray.cpp
nppiColorToGray_8u_C4C1R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_to_gray.cpp,no,
nppiColorTwist32fC_16f_C4IR,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_16f_C4IR_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_16f_C4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_16f_C4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_8u_C4IR,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_8u_C4IR_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_8u_C4R,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32fC_8u_C4R_Ctx,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
nppiColorTwist32f_16f_C1IR,0,yes,src/nppi/nppi_color_conversion_operations/nppi_color_conversion_missing.cpp,no,
